x,y,r
141.1,61.0,16.182088863926065
28.3,97.9,5.3263495942343155
28.5,189.0,5.178802950489623
142.4,165.8,7.049113419430838
256.48038049940544,189.2984542211653,4.955687511099808
256.24256837098693,97.14625445897741,4.711441796946241
28.5,238.3,4.8270073544588845
142.7,262.4,6.7623960250786865
256.5,238.6,4.951767361256
74.44444444444444,142.55555555555554,47.978647514117675
210.8254397834912,142.48985115020295,48.17111640413411
74.43991853360488,142.5661914460285,35.89984958560119
74.43991853360488,142.5661914460285,33.15442076598719
74.74541751527495,142.5661914460285,29.050973895743528
74.54175152749491,142.4643584521385,24.891033509691113
74.74541751527495,142.76985743380854,13.30626446069609
210.9,142.5,38.43657112698791
210.8,142.5,35.42668485760416
210.8,142.4,31.60822677721735
210.8,142.3,28.21790211904493
211.0,142.1,25.248366283781596
210.7,142.5,14.263590010933449
