x,y,r
454.5925925925926,396.5185185185185,358.4404567602881
459.7777777777777,403.18518518518516,258.4166200535296
459.7777777777777,403.18518518518516,85.39105558027643
515.1982378854625,427.9735682819383,6.237798351764907
460.5726872246696,399.33920704845815,35.2594946995201
451.7034068136272,461.92384769539075,16.156829154906927
451.7034068136272,461.7234468937876,11.309780408434861
502.40480961923845,357.7154308617234,16.174219458101014
430.2605210420841,347.0941883767535,16.950164692417268
398.7975951903807,413.0260521042084,17.076453220659495
430.2605210420841,347.2945891783567,12.788020948732585
502.4048096192384,357.9158316633267,12.756577525322335
502.40480961923845,357.51503006012024,5.542812298973696
514.8296593186373,427.65531062124245,16.43408764214103
