x,y,r
255.77900552486187,254.14364640883977,224.10313571900136
256.88397790055245,254.14364640883977,194.50338820430386
255.77900552486187,253.59116022099448,165.46015892709553
256.12552301255226,254.39330543933053,55.04120090148133
256.12552301255226,253.97489539748952,44.217053769449095
313.24110671936756,172.33201581027666,11.94957822753437
291.1067193675889,345.2569169960474,15.56755382870197
207.8590785907859,160.70460704607046,13.036328965643028
154.74254742547427,297.8319783197832,12.554184088781
163.14363143631437,194.579945799458,13.821138211382106
