x,y,r
148.5941422594142,205.85774058577405,52.22085871007187
278.695652173913,190.86956521739128,30.96204762600023
278.695652173913,191.0869565217391,13.458962341012276
177.33118971061094,304.34083601286176,33.987153473851784
178.29581993569133,305.4662379421222,25.010207694701016
168.3,302.1,5.366563145999495
181.3,294.2,5.08035431835221
189.6,307.0,5.445181356024785
176.6,314.6,5.141984052872973
339.8347107438017,309.91735537190084,61.829008642208564
339.6694214876033,309.58677685950414,41.56392177025623
