x,y,r
283.596837944664,77.47035573122528,31.310859904768925
204.74308300395256,207.7075098814229,34.424245348933695
337.9446640316205,235.37549407114622,34.38791967183614
262.25296442687744,394.4664031620553,52.57065586773356
130.0395256916996,432.0158102766798,34.46336607716312
409.88142292490113,428.2608695652174,34.104511234957286
450.79051383399207,276.8774703557312,34.19886098732959
444.3449048152296,109.1825307950728,34.56723271871674
84.1897233201581,112.45059288537549,30.982949068752678
73.51778656126481,285.1778656126482,51.96275692248203
